:Data_list: ace_swepam_1m.txt
:Created: 2015 Jan 07 1608 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2015 01 07  1524   57029   55440    0        9.0      427.7     2.29e+04
2015 01 07  1525   57029   55500    0        9.2      426.7     2.25e+04
2015 01 07  1526   57029   55560    0        9.2      428.8     2.16e+04
2015 01 07  1527   57029   55620    0        8.9      430.3     2.15e+04
2015 01 07  1528   57029   55680    0        8.2      427.5     2.32e+04
2015 01 07  1529   57029   55740    0        7.8      427.2     2.30e+04
2015 01 07  1530   57029   55800    0        7.3      424.9     2.44e+04
2015 01 07  1531   57029   55860    0        7.9      424.6     2.35e+04
2015 01 07  1532   57029   55920    0        8.0      424.9     2.36e+04
2015 01 07  1533   57029   55980    0        8.8      429.7     2.53e+04
2015 01 07  1534   57029   56040    0        2.4      412.8     1.59e+04
2015 01 07  1535   57029   56100    0        7.3      426.3     2.30e+04
2015 01 07  1536   57029   56160    0        7.9      425.4     2.45e+04
2015 01 07  1537   57029   56220    0        7.5      427.5     2.35e+04
2015 01 07  1538   57029   56280    0        7.6      426.1     2.37e+04
2015 01 07  1539   57029   56340    0        7.9      426.6     2.32e+04
2015 01 07  1540   57029   56400    0        8.0      426.0     2.33e+04
2015 01 07  1541   57029   56460    0        7.8      426.0     2.28e+04
2015 01 07  1542   57029   56520    0        7.5      426.1     2.30e+04
2015 01 07  1543   57029   56580    0        7.7      425.2     2.38e+04
2015 01 07  1544   57029   56640    0        7.8      425.1     2.37e+04
2015 01 07  1545   57029   56700    0        7.3      425.3     2.39e+04
2015 01 07  1546   57029   56760    0        7.3      426.0     2.38e+04
2015 01 07  1547   57029   56820    0        7.7      424.9     2.53e+04
2015 01 07  1548   57029   56880    0        7.1      426.7     2.32e+04
2015 01 07  1549   57029   56940    3    -9999.9    -9999.9    -1.00e+05
2015 01 07  1550   57029   57000    9    -9999.9    -9999.9    -1.00e+05
2015 01 07  1551   57029   57060    0        7.2      429.3     2.33e+04
2015 01 07  1552   57029   57120    0        7.3      427.4     2.50e+04
2015 01 07  1553   57029   57180    0        7.6      428.6     2.32e+04
2015 01 07  1554   57029   57240    0        7.7      427.4     2.45e+04
2015 01 07  1555   57029   57300    0        7.7      426.8     2.51e+04
2015 01 07  1556   57029   57360    0        7.6      428.2     2.57e+04
2015 01 07  1557   57029   57420    0        7.2      428.2     2.46e+04
2015 01 07  1558   57029   57480    0        7.4      426.9     2.40e+04
2015 01 07  1559   57029   57540    0        7.6      426.4     2.46e+04
2015 01 07  1600   57029   57600    0        7.1      427.0     2.49e+04
2015 01 07  1601   57029   57660    0        7.2      426.6     2.51e+04
2015 01 07  1602   57029   57720    0        7.1      427.8     2.41e+04
2015 01 07  1603   57029   57780    0        7.8      426.7     2.47e+04
2015 01 07  1604   57029   57840    0        8.2      426.7     2.30e+04
2015 01 07  1605   57029   57900    0        8.0      424.7     2.15e+04
2015 01 07  1606   57029   57960    0        7.9      425.1     2.12e+04
